FID,,County,State,Year,Month,Date,PDSI,PHDI,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2005,1,Jan-05,-0.209920134,1.893126572,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2005,2,Feb-05,-0.608146404,1.256167353,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2005,3,Mar-05,-0.947339942,0.64644272,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2005,4,Apr-05,-1.003699512,-0.490554232,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2005,5,May-05,-1.622408948,-1.832928997,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2005,6,Jun-05,-2.147863442,-2.3696117,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2005,7,Jul-05,-1.980269762,-2.078297585,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2005,8,Aug-05,-1.991098561,-2.049287474,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2005,9,Sep-05,-1.62079811,-1.58177919,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2005,10,Oct-05,-2.282620284,-2.25908688,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2005,11,Nov-05,-2.439744278,-2.432528244,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2005,12,Dec-05,-2.951554853,-2.988000065,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2006,1,Jan-06,-2.298391301,-2.308687868,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2006,2,Feb-06,-2.307385903,-2.078910147,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2006,3,Mar-06,-2.508550748,-2.267082319,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2006,4,Apr-06,-2.505647727,-2.50610329,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2006,5,May-06,-2.382478141,-2.370712824,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2006,6,Jun-06,-2.544159727,-2.443969483,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2006,7,Jul-06,-3.769271254,-3.105591119,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2006,8,Aug-06,-3.743280936,-3.233870857,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2006,9,Sep-06,-3.468212731,-2.69012763,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2006,10,Oct-06,-3.336042516,-3.097308221,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2006,11,Nov-06,-2.889936657,-3.355290379,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2006,12,Dec-06,-2.918844599,-2.697581253,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2007,1,Jan-07,-1.731166538,-2.452618082,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2007,2,Feb-07,-2.401290838,-2.541322095,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2007,3,Mar-07,-3.533263919,-3.278467645,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2007,4,Apr-07,-3.224665832,-3.459332355,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2007,5,May-07,-3.509837321,-3.349829319,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2007,6,Jun-07,-3.664483934,-3.424996314,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2007,7,Jul-07,-2.589719613,-2.394237437,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2007,8,Aug-07,-3.328996885,-2.884573447,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2007,9,Sep-07,-0.456277694,-2.486703179,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2007,10,Oct-07,0.396496641,-1.748153103,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2007,11,Nov-07,-1.850135112,-2.234832246,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2007,12,Dec-07,-1.789819586,-1.965751689,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2008,1,Jan-08,-2.148721387,-2.301770684,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2008,2,Feb-08,-1.769097476,-2.630513696,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2008,3,Mar-08,-1.738349278,-2.816207951,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2008,4,Apr-08,-0.515891518,0.116886734,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2008,5,May-08,-0.99577011,0.023706494,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2008,6,Jun-08,-0.940765446,-1.293888697,,,,,,,,,,,,
168,5001,Arkansas,Arkansas,2008,7,Jul-08,-1.989088156,-1.914456198,,,,,,,,,,,,
